TickerStock;TickerETF;TickerFuture;TickerIndex;TickerFundMutual;TickerCurrency
AXLL;AXEN;M58FJ19-C.SI;LZPL.DE;M58FJ19-C.SI;AUDHUF=X
AU;REGL;R2:TIET4T.SA;^NQMEA8500LMAUDN;R2:TIET4T.SA;AMD=X
ARO;RAVI;IDJ16-3.SI;^NQNA3000LMT;IDJ16-3.SI;AUDRSD=X
APH;QAUS;M58FJ19-3.SI;23576012.SG;M58FJ19-3.SI;AEDMUR=X
ANTH;PZT;PH1FJ6.EX;^DWMFCGT;PH1FJ6.EX;AUDPYG=X
AMX;PFM;NVG1526-C.BO;^NQLA3500CADN;NVG1526-C.BO;ARSAUD=X
AMDA;MULT;UBH6.AX;^NQUSM2737AUDN;UBH6.AX;ARSJPY=X
AI;MNA;R2:CTKA3T.SA;537A.DE;R2:CTKA3T.SA;AOAGBP=X
ABCO;LOWC;NKQ15-2.SI;AW12.FGI;NKQ15-2.SI;AUDHRK=X
WMC;LARE;APR5.AX;^NQASPA1300T;APR5.AX;CNY=X
MPX.AX;KNOW;ADSGF6.EX;^NQDMASPA3000EURN;ADSGF6.EX;AUDXPF=X
JKHY;JSMD;ARIKMQ-A;DK71.DE;ARIKMQ-A;29134331=X
AVAV;JJA;APSU5.AX;SFA05D.SW;APSU5.AX;ARSBOB=X
AMKR;INKM;FVSJ6.EX;^NQAUSCAUDT;FVSJ6.EX;EURBMD=X
ALJ;GTAA;AP16K.AX;26773612.SG;AP16K.AX;AWGCHF=X
ACH;GIVE;ABB6R.ST;^BKCSW;ABB6R.ST;ANGSRD=X
GPH.AX;GEM;HKQ15-C.SI;^NQMY1000AUDN;HKQ15-C.SI;ARSCAD=X
ERC;FXL;APSH6.AX;^NQASIA0001LMAUDN;APSH6.AX;ARS=X
APPY;FPA;A2KUZ8.EX;5EDJ.DE;A2KUZ8.EX;AUDPHP=X
ANAC;FNK;XPJ15Z.AX;^BKFRT;XPJ15Z.AX;ANG=X
AEIS;FHK;WMSN6.AX;^NQHUAUDN;WMSN6.AX;AEDZAR=X
Y;FEP;T58FJ17-C.SI;^NQLA8600LMCADN;T58FJ17-C.SI;ARSEUR=X
